userId,resId,X
29183,4340,0.82
15096,4340,0.78
3119,4340,0.73
29183,4340,0.8
4372,4340,0.73
3119,4340,0.78
4372,4340,0.78
6658,4340,0.63
29183,4340,0.68
27999,4340,0.82
4372,4340,0.8
30222,4340,0.75
3119,4340,0.75
15096,4340,0.87
15096,4340,0.87
6658,4340,0.73
27999,4340,0.84
14177,4340,0.85
14374,4340,0.83
14374,4340,0.82
4372,4340,0.8
27999,4340,0.75
4372,4340,0.75
27999,4340,0.84
19065,4340,0.81
19065,4340,0.91
14374,4340,0.73
4372,4340,0.78
12029,4340,0.83
14374,1512,0.5
14374,1512,0.54
12029,1512,0.85
25661,4842,0.63
3119,4842,0.77
23518,4842,0.78
23518,4842,0.9
23518,4842,0.79
23518,4842,0.85
23518,4842,0.9
23518,4842,0.9
23518,4842,0.88
23518,4842,0.87
17541,4842,0.85
23518,4842,0.86
23518,4842,0.81
23518,4842,0.85
23518,4842,0.88
23518,4842,0.85
23518,4842,0.75
23518,4842,0.73
17541,4842,0.63
12029,4842,0.79
6658,4665,0.75
15096,4665,0.8
15096,4665,0.77
3119,4665,0.78
15096,4665,0.81
15096,4665,0.81
6658,4665,0.73
19989,4665,0.68
15096,4665,0.74
15096,4665,0.68
23518,4665,0.82
6658,4665,0.85
19065,4665,0.86
17541,9274,0.82
24946,9274,0.8
29183,9274,0.79
12029,9274,0.76
3119,9274,0.75
19573,11227,0.86
19573,11227,0.79
3119,11227,0.77
19573,11227,0.81
24946,11227,0.75
14374,11227,0.81
4372,11227,0.82
4372,11227,0.77
23518,11227,0.88
20295,11227,0.77
25661,11227,0.87
25661,11227,0.83
23518,11227,0.79
23518,11227,0.92
3119,11227,0.85
15096,11227,0.74
3119,11227,0.83
4372,11227,0.81
30222,11227,0.75
28782,3861,0.68
14177,3861,0.69
28782,3861,0.69
14177,3861,0.78
25661,3861,0.62
28782,3861,0.65
25661,3861,0.79
25661,3861,0.72
20295,3861,0.8
20295,3861,0.81
3119,4791,0.78
15096,4791,0.82
3119,4791,0.71
17541,4791,0.74
12029,4791,0.84
3119,4791,0.7
19065,4791,0.75
19989,4791,0.72
23518,4791,0.88
20295,4791,0.72
19065,4791,0.62
25661,4791,0.67
20295,4791,0.75
15096,4791,0.77
23518,4791,0.89
23518,4791,0.86
17541,4791,0.73
12029,4791,0.77
23518,4791,0.79
23518,4791,0.79
23518,4791,0.79
23518,4791,0.62
9890,9684,0.79
17005,9684,0.79
30446,9684,0.83
6541,9684,0.8
20655,9684,0.78
27772,9684,0.84
17005,9097,0.73
9890,9097,0.79
27772,9097,0.82
2695,9097,0.87
6541,9097,0.81
24753,9097,0.79
12958,9097,0.69
24753,9097,0.74
10258,689,0.98
12416,689,0.74
15322,689,0.84
12410,689,0.78
19780,689,0.82
19780,689,0.87
20191,689,0.66
28145,689,0.75
12410,689,0.83
17005,9989,0.74
4440,9989,0.64
4440,9989,0.62
4440,9989,0.66
27772,9989,0.8
4440,9989,0.81
20341,9989,0.73
27772,9989,0.78
27772,9989,0.79
20341,9989,0.86
24859,9989,0.78
27772,9989,0.81
30977,9989,0.77
4440,9989,0.76
22384,9989,0.83
20655,9989,0.74
30446,9989,0.76
20341,9989,0.83
22526,9989,0.78
