id_user,id_res,X,userId,resId
nangsamac54,210836,0.9,20495,2561
cm.giangpham,210836,0.82,5121,2561
hdtuan93,210836,0.7,13356,2561
ngocluu11,210836,0.71,21116,2561
keodang_celina,210836,0.73,16002,2561
lylyarsenal,210836,0.76,18617,2561
khuongtran5268,210836,0.66,16305,2561
Myvan1529,210836,0.69,1489,2561
tuyetpham71,198932,0.85,30540,2212
hdtuan93,198932,0.71,13356,2212
choco.pie.9081,198932,0.89,4939,2212
huyhong6306,198932,0.81,15096,2212
huyhong6306,198932,0.8,15096,2212
huyhong6306,198932,0.82,15096,2212
huyhong6306,198932,0.84,15096,2212
chaodinhduongsnk,198932,0.96,4678,2212
lamthikimthu,198932,0.8,16942,2212
nganhaleng,198932,0.81,20681,2212
huyhong6306,198932,0.72,15096,2212
hdtuan93,131369,0.8,13356,767
hdtuan93,131369,0.77,13356,767
ttbms,131369,0.69,30197,767
hdtuan93,773872,0.83,13356,9384
matbuon712,244536,0.32,19041,3425
huyhong6306,711811,0.78,15096,7821
hdtuan93,704115,0.85,13356,7630
hdtuan93,704115,0.86,13356,7630
hdtuan93,704115,0.74,13356,7630
hdtuan93,711649,0.81,13356,7810
hdtuan93,711649,0.7,13356,7810
hdtuan93,711649,0.67,13356,7810
hdtuan93,166065,0.76,13356,1479
ttbms,166065,0.62,30197,1479
ttbms,166065,0.69,30197,1479
lamthikimthu,636566,0.89,16942,5882
dangnhutduy221982,176549,0.79,5646,1734
suongngocch,176549,0.74,26487,1734
hdtuan93,176549,0.67,13356,1734
vy.pham188,176549,0.82,31597,1734
trang1696,176549,0.78,29233,1734
hdtuan93,176549,0.73,13356,1734
trnhthdimtrang,176549,0.53,29900,1734
hdtuan.agp,176549,0.73,13355,1734
hoang_bao168,176549,0.87,13966,1734
hdtuan93,176549,0.7,13356,1734
anhth1348,176549,0.85,2891,1734
nguyenthuytrucanh,176549,0.73,22056,1734
michelcuong,176549,0.73,19252,1734
