resId,name_res,address
2539,Kichi Kichi - Lẩu Băng Chuyền Vincom Long Xuyên,"Lầu 4 - 10, Trần Hưng Đạo, P. Mỹ Bình,Tp. Long Xuyên, An Giang"
2539,Kichi Kichi - Lẩu Băng Chuyền Vincom Long Xuyên,"Lầu 4 - 10, Trần Hưng Đạo, P. Mỹ Bình,Tp. Long Xuyên, An Giang"
2539,Kichi Kichi - Lẩu Băng Chuyền Vincom Long Xuyên,"Lầu 4 - 10, Trần Hưng Đạo, P. Mỹ Bình,Tp. Long Xuyên, An Giang"
2539,Kichi Kichi - Lẩu Băng Chuyền Vincom Long Xuyên,"Lầu 4 - 10, Trần Hưng Đạo, P. Mỹ Bình,Tp. Long Xuyên, An Giang"
2539,Kichi Kichi - Lẩu Băng Chuyền Vincom Long Xuyên,"Lầu 4 - 10, Trần Hưng Đạo, P. Mỹ Bình,Tp. Long Xuyên, An Giang"
2539,Kichi Kichi - Lẩu Băng Chuyền Vincom Long Xuyên,"Lầu 4 - 10, Trần Hưng Đạo, P. Mỹ Bình,Tp. Long Xuyên, An Giang"
2539,Kichi Kichi - Lẩu Băng Chuyền Vincom Long Xuyên,"Lầu 4 - 10, Trần Hưng Đạo, P. Mỹ Bình,Tp. Long Xuyên, An Giang"
2679,Hoành Thánh Mì,"13SH Trần Hưng Đạo, Mỹ Xuyên,Tp. Long Xuyên, An Giang"
2679,Hoành Thánh Mì,"13SH Trần Hưng Đạo, Mỹ Xuyên,Tp. Long Xuyên, An Giang"
8429,Bánh Flan - Nguyễn Văn Thoại,"44 Nguyễn Văn Thoại, P. Châu Phú B,Thành Phố Châu Đốc, An Giang"
8429,Bánh Flan - Nguyễn Văn Thoại,"44 Nguyễn Văn Thoại, P. Châu Phú B,Thành Phố Châu Đốc, An Giang"
4134,Súp Cua Hải Sản,"Trần Hưng Đạo,Tp. Long Xuyên, An Giang"
4134,Súp Cua Hải Sản,"Trần Hưng Đạo,Tp. Long Xuyên, An Giang"
10185,Hải Sản Minh Yến - Trần Hưng Đạo,"71 Trần Hưng Đạo,Tp. Long Xuyên, An Giang"
10185,Hải Sản Minh Yến - Trần Hưng Đạo,"71 Trần Hưng Đạo,Tp. Long Xuyên, An Giang"
10185,Hải Sản Minh Yến - Trần Hưng Đạo,"71 Trần Hưng Đạo,Tp. Long Xuyên, An Giang"
